iter	MultiClass
0	1.694764301
1	1.607598389
2	1.532560333
3	1.46907362
4	1.414778795
5	1.366707644
6	1.321265112
7	1.279812773
8	1.24490505
9	1.211027275
10	1.181516844
11	1.152833139
12	1.128175351
13	1.105089923
14	1.084949609
15	1.068175629
16	1.051963173
17	1.036154207
18	1.020649937
19	1.008417607
20	0.9963815031
21	0.9848232674
22	0.972825831
23	0.9622956863
24	0.9522681258
25	0.9421924839
26	0.9341228047
27	0.9252437736
28	0.9182836812
29	0.9103297723
30	0.9018831219
31	0.8953371907
32	0.8891730902
33	0.8829438647
34	0.8759040822
35	0.8702753467
36	0.8640592518
37	0.8578972926
38	0.8527762934
39	0.846642368
40	0.8417363845
41	0.8373731872
42	0.8337361524
43	0.8277158056
44	0.8237202393
45	0.8176052489
46	0.811445136
47	0.807307645
48	0.8033119531
49	0.7988777151
50	0.7952845456
51	0.7923706728
52	0.788022157
53	0.7841473116
54	0.779215565
55	0.7766386077
56	0.7730724125
57	0.7702097058
58	0.7670377157
59	0.7642498565
60	0.7608079151
61	0.7579452411
62	0.7547344758
63	0.7526385025
64	0.7498027976
65	0.7471053465
66	0.7441935108
67	0.7412204358
68	0.7395892742
69	0.7371095202
70	0.7351916727
71	0.7328513004
72	0.7296535432
73	0.7255238433
74	0.7231274668
75	0.7213245206
76	0.7197340035
77	0.7157663786
78	0.7119805235
79	0.7108925257
80	0.7084996009
81	0.7047789341
82	0.7034562825
83	0.700484242
84	0.6988279539
85	0.6972227323
86	0.6939423652
87	0.6916637041
88	0.6876514424
89	0.6850391912
90	0.6815017528
91	0.679218187
92	0.677668496
93	0.675862621
94	0.6735602779
95	0.670886349
96	0.6701485534
97	0.6677241325
98	0.6647331569
99	0.662560476
100	0.6598560377
101	0.6580268841
102	0.6556503934
103	0.6520879584
104	0.6506110153
105	0.6493294337
106	0.6470509197
107	0.6436476223
108	0.6421688784
109	0.6405723159
110	0.6382110594
111	0.636760515
112	0.6345263566
113	0.6331150544
114	0.631746391
115	0.6286549877
116	0.6259209651
117	0.625131189
118	0.6230560404
119	0.6203343368
120	0.6188224018
121	0.6162488126
122	0.6140636708
123	0.612036065
124	0.6097188899
125	0.6065753728
126	0.6053116197
127	0.6033509951
128	0.602053029
129	0.6006210743
130	0.5986535749
131	0.5969443223
132	0.5947705791
133	0.5933059474
134	0.59152828
135	0.5890683442
136	0.5869134246
