iter	Passed	Remaining
0	2	2807
1	5	2708
2	8	2680
3	10	2617
4	13	2594
5	15	2544
6	17	2485
7	19	2437
8	21	2399
9	23	2373
10	26	2369
11	28	2342
12	30	2329
13	32	2312
14	34	2294
15	37	2284
16	39	2277
17	41	2260
18	43	2250
19	46	2254
20	48	2258
21	50	2244
22	52	2239
23	54	2232
24	57	2223
25	59	2216
26	61	2209
27	63	2198
28	65	2202
29	68	2199
30	70	2195
31	72	2190
32	74	2183
33	76	2173
34	78	2168
35	80	2163
36	82	2158
37	85	2156
38	87	2157
39	89	2157
40	91	2150
41	94	2152
42	96	2152
43	98	2148
44	101	2143
45	103	2138
46	105	2132
47	107	2133
48	109	2129
49	111	2126
50	113	2120
51	116	2117
52	118	2113
53	120	2109
54	122	2106
55	124	2101
56	127	2101
57	129	2108
58	132	2108
59	134	2105
60	136	2100
61	138	2096
62	140	2091
63	142	2090
64	144	2085
65	147	2083
66	149	2086
67	151	2082
68	154	2079
69	156	2074
70	158	2070
71	160	2068
72	162	2065
73	164	2063
74	166	2059
75	169	2056
76	171	2052
77	173	2050
78	175	2047
79	177	2043
80	179	2039
81	181	2035
82	183	2030
83	185	2028
84	188	2026
85	190	2027
86	193	2026
87	195	2023
88	197	2020
89	199	2017
90	201	2015
91	203	2012
92	206	2009
93	208	2005
94	210	2004
95	212	2002
96	214	1999
97	216	1995
98	219	1993
99	221	1991
100	223	1989
101	225	1986
102	227	1983
103	230	1982
104	232	1980
105	234	1978
106	236	1974
107	238	1971
108	240	1968
109	243	1966
110	245	1962
111	247	1960
112	249	1957
113	251	1955
114	254	1955
115	256	1952
116	258	1949
117	260	1945
118	262	1942
119	264	1940
120	266	1938
121	268	1935
122	271	1934
123	273	1935
124	275	1931
125	278	1929
126	280	1926
127	282	1923
128	284	1919
129	286	1916
130	288	1914
131	290	1912
132	293	1913
133	295	1912
134	298	1911
135	300	1910
136	303	1908
137	305	1906
138	307	1904
139	309	1902
140	311	1899
141	314	1900
142	316	1898
143	319	1897
144	321	1893
145	323	1891
146	325	1888
147	327	1885
148	329	1883
149	331	1880
150	334	1879
151	336	1877
152	338	1875
153	340	1873
154	343	1870
155	345	1868
156	347	1864
157	349	1862
158	351	1859
159	354	1858
160	356	1856
161	358	1853
162	360	1850
163	362	1848
164	364	1845
165	366	1842
166	368	1840
167	371	1838
168	373	1835
169	375	1834
170	378	1833
171	380	1831
172	382	1829
173	384	1826
174	386	1823
175	389	1822
176	391	1820
177	393	1817
178	396	1817
179	398	1815
180	400	1813
181	402	1810
182	405	1809
183	407	1808
184	410	1806
185	412	1803
186	414	1801
187	416	1800
188	419	1798
189	421	1795
190	423	1794
191	425	1791
192	427	1789
193	430	1786
194	432	1784
195	434	1782
196	436	1781
197	439	1779
198	441	1776
199	443	1774
200	445	1772
201	448	1770
202	450	1767
203	452	1764
